question_number,question_title,question_code,expected_output,difficulty,points
1,"Simple Multiplication","#include <stdio.h>
int main() {
    int a = 6, b = 3;
    printf(""%d"", a * b);
    return 0;
}","18","Medium",5
2,"Conditional Check","#include <stdio.h>
int main() {
    int x = 10;
    if(x > 5)
        printf(""Greater"");
    else
        printf(""Lesser"");
    return 0;
}","Greater","Medium",5
3,"Array Element Access","#include <stdio.h>
int main() {
    int arr[] = {2, 4, 6};
    printf(""%d"", arr[1]);
    return 0;
}","4","Medium",5
4,"Character Output","#include <stdio.h>
int main() {
    char ch = 'Z';
    printf(""%c"", ch);
    return 0;
}","Z","Medium",5
5,"While Loop Count","#include <stdio.h>
int main() {
    int i = 0;
    while(i < 4) {
        printf(""%d "", i);
        i++;
    }
    return 0;
}","0 1 2 3","Medium",5
6,"Function Addition","#include <stdio.h>
int add(int x, int y) {
    return x + y;
}
int main() {
    printf(""%d"", add(8, 12));
    return 0;
}","20","Medium",5
7,"Switch Case","#include <stdio.h>
int main() {
    int n = 9;
    switch(n) {
        case 9: printf(""Nine""); break;
        default: printf(""Other"");
    }
    return 0;
}","Nine","Medium",5
8,"Modulo Operation","#include <stdio.h>
int main() {
    int num = 25;
    printf(""%d"", num % 10);
    return 0;
}","5","Medium",5
9,"String Output","#include <stdio.h>
int main() {
    char str[] = ""Hi"";
    printf(""%s"", str);
    return 0;
}","Hi","Medium",5
10,"Multiplication Assignment","#include <stdio.h>
int main() {
    int a = 7;
    a *= 2;
    printf(""%d"", a);
    return 0;
}","14","Medium",5
11,"Subtraction Operation","#include <stdio.h>
int main() {
    int x = 5, y = 3;
    int z = x - y;
    printf(""%d"", z);
    return 0;
}","2","Medium",5
12,"For Loop Multiplication","#include <stdio.h>
int main() {
    for(int i = 1; i <= 3; i++)
        printf(""%d "", i * 2);
    return 0;
}","2 4 6","Medium",5
13,"Array Last Element","#include <stdio.h>
int main() {
    int arr[4] = {10, 20, 30, 40};
    printf(""%d"", arr[3]);
    return 0;
}","40","Medium",5
14,"Division Assignment","#include <stdio.h>
int main() {
    int x = 100;
    x /= 10;
    printf(""%d"", x);
    return 0;
}","10","Medium",5
15,"Array Condition Sum","#include <stdio.h>
int main() {
    int arr[] = {3, 6, 9, 12, 15};
    int result = 0;
    for(int i = 0; i < 5; i++) {
        if(arr[i] % 3 == 0 && i % 2 != 0)
            result += arr[i];
    }
    printf(""%d"", result);
    return 0;
}","18","Hard",10
16,"String Copy","#include <stdio.h>
int main() {
    char str1[] = ""APPLE"";
    char str2[10];
    int i = 0;
    while(str1[i] != '\0') {
        str2[i] = str1[i];
        i++;
    }
    str2[i] = '\0';
    printf(""%s"", str2);
    return 0;
}","APPLE","Hard",10
17,"Fibonacci Recursive","#include <stdio.h>
int fib(int n) {
    if(n <= 1) return n;
    return fib(n-1) + fib(n-2);
}
int main() {
    printf(""%d"", fib(6));
    return 0;
}","8","Hard",10
18,"Ternary with Multiplication","#include <stdio.h>
int main() {
    int x = 20, y = 30;
    int z = (x > y) ? (x - y) : (y - x);
    printf(""%d"", z * 2);
    return 0;
}","20","Hard",10
