question_number,question_title,question_code,expected_output,difficulty,points
1,"Nested If Conditions","#include <stdio.h>
int main() {
    int p = 7, q = 7, r = 10;
    if(p == q)
        if(q != r)
            printf(""A"");
        else
            printf(""B"");
    else if(p < q)
        printf(""C"");
    else
        printf(""D"");
    return 0;
}","A","Medium",5
2,"Function Sum","#include <stdio.h>
int sum(int x, int y) {
    return x + y;
}
int main() {
    int res = sum(12, 18);
    printf(""%d"", res);
    return 0;
}","30","Medium",5
3,"Logical Operators","#include <stdio.h>
int main() {
    int m = 12, n = 18;
    if(m % 2 == 0 && n % 3 == 0)
        printf(""%d"", m + n);
    else if(m % 2 == 0 || n % 3 == 0)
        printf(""%d"", m * n);
    else
        printf(""%d"", m - n);
    return 0;
}","30","Medium",5
4,"Division Check","#include <stdio.h>
int main() {
    int p = 18, q = 24;
    if(p % 6 == 0)
        if(q % 6 == 0)
            printf(""%d"", p / 6 + q / 6);
        else
            printf(""%d"", p / 6);
    else if(q % 6 == 0)
        printf(""%d"", q / 6);
    else
        printf(""%d"", 0);
    return 0;
}","7","Medium",5
5,"Nested Loop Pattern","#include <stdio.h>
int main() {
    int ans = 0;
    for(int i = 1; i <= 4; i++) {
        for(int j = 4; j >= 1; j--) {
            if(i == j)
                break;
            if(i > j)
                continue;
            ans += i * j;
        }
    }
    printf(""%d"", ans);
    return 0;
}","20","Medium",5
6,"Array Parameter Modification","#include <stdio.h>
void changeArray(int a[]) {
    a[0] = 100;
}
int main() {
    int arr[] = {10, 20, 30};
    changeArray(arr);
    printf(""%d"", arr[0]);
    return 0;
}","100","Medium",5
7,"Do While with Continue","#include <stdio.h>
int main() {
    int i = 10, prod = 1;
    do {
        if(i % 3 == 0) {
            i--;
            continue;
        }
        prod *= i;
        i--;
    } while(i >= 8);
    printf(""%d"", prod);
    return 0;
}","80","Medium",5
8,"String Length Count","#include <stdio.h>
int main() {
    char name[] = ""CTITANS"";
    int len = 0;
    while(name[len] != '\0')
        len++;
    printf(""%d"", len);
    return 0;
}","7","Medium",5
9,"Array Condition Sum","#include <stdio.h>
int main() {
    int values[] = {7, 14, 21, 28, 35};
    int output = 0;
    for(int i = 0; i < 5; i++) {
        if(values[i] % 7 == 0 && i % 2 == 0)
            output += values[i];
    }
    printf(""%d"", output);
    return 0;
}","63","Medium",5
10,"Max Finding Logic","#include <stdio.h>
int main() {
    int x = 100, y = 50, z = 75;
    if(x > y && x > z)
        if(y > z)
            printf(""%d"", y);
        else
            printf(""%d"", z);
    else if(y > z)
        printf(""%d"", y);
    else
        printf(""%d"", z);
    return 0;
}","75","Medium",5
11,"Nested Loop Counter","#include <stdio.h>
int main() {
    int res = 0;
    for(int i = 0; i < 5; i++) {
        if(i == 0)
            continue;
        for(int j = 0; j < i; j++) {
            res++;
        }
    }
    printf(""%d"", res);
    return 0;
}","10","Medium",5
12,"Switch Fall Through","#include <stdio.h>
int main() {
    int num = 5;
    switch(num) {
        case 5: printf(""A"");
        case 4: printf(""B"");
                break;
        case 3: printf(""C"");
        default: printf(""D"");
    }
    return 0;
}","AB","Medium",5
13,"While with Continue Skip","#include <stdio.h>
int main() {
    int x = 1, y = 0;
    while(x <= 4) {
        if(x == 2) {
            x++;
            continue;
        }
        y += x * x;
        x++;
    }
    printf(""%d"", y);
    return 0;
}","26","Medium",5
14,"Character Access","#include <stdio.h>
int main() {
    char str[] = ""BEGINNERS"";
    printf(""%c"", str[0]);
    return 0;
}","B","Medium",5
15,"Even Number Loop Skip","#include <stdio.h>
int main() {
    int result = 0;
    for(int i = 2; i <= 8; i += 2) {
        for(int j = 1; j <= 3; j++) {
            if(j == 2)
                continue;
            result += i + j;
        }
    }
    printf(""%d"", result);
    return 0;
}","48","Hard",10
16,"Function Multiplication","#include <stdio.h>
int multiply(int a, int b) {
    return a * b;
}
int main() {
    int ans = multiply(6, 7);
    printf(""%d"", ans);
    return 0;
}","42","Hard",10
17,"While with Break","#include <stdio.h>
int main() {
    int i = 5, total = 0;
    while(i > 0) {
        if(i == 2)
            break;
        total += i;
        i--;
    }
    printf(""%d"", total);
    return 0;
}","12","Hard",10
18,"Pointer Modification","#include <stdio.h>
void updateValue(int *ptr) {
    *ptr = *ptr * 2;
}
int main() {
    int x = 15;
    updateValue(&x);
    printf(""%d"", x);
    return 0;
}","30","Hard",10
19,"Switch Modulo Fall Through","#include <stdio.h>
int main() {
    int x = 7, y = 0;
    switch(x % 3) {
        case 0: y = 10; break;
        case 1: y = 20;
        case 2: y = 30; break;
        default: y = 40;
    }
    printf(""%d"", y);
    return 0;
}","30","Hard",10
20,"Even Count Loop","#include <stdio.h>
int main() {
    int n = 10, count = 0;
    while(n > 0) {
        if(n % 2 == 0)
            count++;
        n -= 2;
    }
    printf(""%d"", count);
    return 0;
}","5","Hard",10
21,"Square Function","#include <stdio.h>
int square(int n) {
    return n * n;
}
int main() {
    printf(""%d"", square(8));
    return 0;
}","64","Hard",10
22,"Average Calculation","#include <stdio.h>
int main() {
    int x = 8, y = 12, z = 15;
    if(x < y && y < z)
        printf(""%d"", (x + y + z) / 3);
    else if(x == y || y == z)
        printf(""%d"", x * y * z);
    else
        printf(""%d"", 0);
    return 0;
}","11","Hard",10
23,"Static Counter Function","#include <stdio.h>
int counter() {
    static int c = 0;
    c++;
    return c;
}
int main() {
    printf(""%d "", counter());
    printf(""%d "", counter());
    printf(""%d"", counter());
    return 0;
}","1 2 3","Hard",10
24,"Season Switch","#include <stdio.h>
int main() {
    int month = 6;
    switch(month) {
        case 12: case 1: case 2:
            printf(""Winter""); break;
        case 3: case 4: case 5:
            printf(""Spring""); break;
        case 6: case 7: case 8:
            printf(""Summer""); break;
        default:
            printf(""Fall"");
    }
    return 0;
}","Summer","Hard",10
25,"Divisible Count","#include <stdio.h>
int main() {
    int count = 0, num = 1;
    do {
        if(num % 2 == 0 && num % 3 == 0)
            count++;
        num++;
    } while(num <= 12);
    printf(""%d"", count);
    return 0;
}","2","Hard",10
26,"Array Max Function","#include <stdio.h>
int findMax(int arr[], int size) {
    int max = arr[0];
    for(int i = 1; i < size; i++) {
        if(arr[i] > max)
            max = arr[i];
    }
    return max;
}
int main() {
    int data[] = {12, 45, 23, 67, 34};
    printf(""%d"", findMax(data, 5));
    return 0;
}","67","Hard",10
27,"Space Counter","#include <stdio.h>
int main() {
    char event[] = ""BATTLE OF BEGINNERS"";
    int spaces = 0;
    for(int i = 0; event[i] != '\0'; i++) {
        if(event[i] == ' ')
            spaces++;
    }
    printf(""%d"", spaces);
    return 0;
}","2","Hard",10
28,"Range Validation","#include <stdio.h>
int main() {
    int num = 25;
    if(num > 20)
        if(num < 30)
            if(num % 5 == 0)
                printf(""Valid"");
            else
                printf(""Invalid"");
        else
            printf(""High"");
    else
        printf(""Low"");
    return 0;
}","Valid","Hard",10
29,"Countdown with Conditions","#include <stdio.h>
int main() {
    int sum = 0;
    for(int i = 10; i >= 1; i--) {
        if(i % 4 == 0)
            continue;
        if(i < 5)
            break;
        sum += i;
    }
    printf(""%d"", sum);
    return 0;
}","30","Hard",10
30,"Swap Function Pass by Value","#include <stdio.h>
void swap(int a, int b) {
    int temp = a;
    a = b;
    b = temp;
}
int main() {
    int x = 10, y = 20;
    swap(x, y);
    printf(""%d %d"", x, y);
    return 0;
}","10 20","Hard",10
31,"Array Greater Count","#include <stdio.h>
int main() {
    int arr[] = {10, 20, 30, 40, 50};
    int count = 0;
    for(int i = 0; i < 5; i++) {
        if(arr[i] > 25)
            count++;
    }
    printf(""%d"", count);
    return 0;
}","3","Hard",10
32,"Equal Comparison Logic","#include <stdio.h>
int main() {
    int a = 5, b = 5, c = 10;
    if(a == b || b == c)
        if(a != c)
            printf(""%d"", a + b);
        else
            printf(""%d"", b + c);
    else
        printf(""%d"", a + c);
    return 0;
}","10","Hard",10
33,"Static Value Function","#include <stdio.h>
int getValue() {
    static int val = 10;
    val += 5;
    return val;
}
int main() {
    printf(""%d "", getValue());
    printf(""%d"", getValue());
    return 0;
}","15 20","Hard",10
34,"Switch Complete Fall Through","#include <stdio.h>
int main() {
    int n = 1;
    switch(n) {
        case 1: printf(""One"");
        case 2: printf(""Two"");
        case 3: printf(""Three"");
        default: printf(""Many"");
    }
    return 0;
}","OneTwoThreeMany","Hard",10
35,"2D Array Condition Sum","#include <stdio.h>
int main() {
    int box[2][3] = {{5, 10, 15}, {20, 25, 30}};
    int ans = 0;
    for(int i = 0; i < 2; i++) {
        for(int j = 0; j < 3; j++) {
            if(i == 0 || j == 2)
                ans += box[i][j];
        }
    }
    printf(""%d"", ans);
    return 0;
}","75","Hard",10
