question_number,question_title,question_code,expected_output,difficulty,points
1,"Array Sum with Condition","#include <stdio.h>
int main() {
    int arr[] = {5, 10, 15, 20, 25};
    int sum = 0;
    for(int i = 0; i < 5; i++) {
        if(arr[i] % 10 == 0)
            continue;
        sum += arr[i];
    }
    printf(""%d"", sum);
    return 0;
}","45","Easy",5
2,"Function Addition","#include <stdio.h>
int add(int x, int y) {
    return x + y;
}
int main() {
    int result = add(15, 25);
    printf(""%d"", result);
    return 0;
}","40","Easy",5
3,"Nested If Statement","#include <stdio.h>
int main() {
    int x = 5, y = 10;
    if(x > 3)
        if(y < 15)
            printf(""%d"", x + y);
        else
            printf(""%d"", x - y);
    else
        printf(""%d"", x * y);
    return 0;
}","15","Easy",5
4,"While Loop with Continue","#include <stdio.h>
int main() {
    int i = 1, sum = 0;
    while(i <= 5) {
        if(i == 3) {
            i++;
            continue;
        }
        sum += i;
        i++;
    }
    printf(""%d"", sum);
    return 0;
}","12","Easy",5
5,"Array Even Sum","#include <stdio.h>
int main() {
    int data[] = {2, 4, 6, 8, 10};
    int result = 0;
    for(int i = 0; i < 5; i++) {
        if(data[i] % 4 == 0)
            result += data[i];
    }
    printf(""%d"", result);
    return 0;
}","12","Easy",5
6,"Switch Fall Through","#include <stdio.h>
int main() {
    int grade = 'B';
    switch(grade) {
        case 'A': printf(""Excellent "");
        case 'B': printf(""Good "");
        case 'C': printf(""Average "");
                  break;
        case 'D': printf(""Poor "");
        default: printf(""Fail"");
    }
    return 0;
}","Good Average","Easy",5
7,"Do While Factorial","#include <stdio.h>
int main() {
    int x = 1, result = 1;
    do {
        result *= x;
        x++;
    } while(x <= 4);
    printf(""%d"", result);
    return 0;
}","24","Easy",5
8,"2D Array Lower Triangle","#include <stdio.h>
int main() {
    int matrix[3][3] = {{1, 2, 3}, {4, 5, 6}, {7, 8, 9}};
    int total = 0;
    for(int i = 0; i < 3; i++) {
        for(int j = 0; j < 3; j++) {
            if(i > j)
                total += matrix[i][j];
        }
    }
    printf(""%d"", total);
    return 0;
}","12","Easy",5
9,"Loop with Break and Continue","#include <stdio.h>
int main() {
    int sum = 0;
    for(int i = 1; i <= 10; i++) {
        if(i % 3 == 0)
            continue;
        if(i > 7)
            break;
        sum += i;
    }
    printf(""%d"", sum);
    return 0;
}","16","Easy",5
10,"Switch Case Fall Through","#include <stdio.h>
int main() {
    int day = 3;
    switch(day) {
        case 1: printf(""Mon "");
        case 2: printf(""Tue "");
        case 3: printf(""Wed "");
        case 4: printf(""Thu "");
                break;
        default: printf(""Invalid"");
    }
    return 0;
}","Wed Thu","Easy",5
11,"Do While with Continue","#include <stdio.h>
int main() {
    int num = 0, sum = 0;
    do {
        num++;
        if(num % 2 != 0)
            continue;
        sum += num;
    } while(num < 6);
    printf(""%d"", sum);
    return 0;
}","12","Easy",5
